pl_name,st_spectype
30 Ari B b,F6 V
PH1 b,F
GJ 667 C b,M1.5 V
GJ 667 C c,M1.5 V
GJ 667 C e,M1.5 V
GJ 667 C f,M1.5 V
GJ 667 C g,M1.5 V
Kepler-444 b,K
Kepler-444 c,K
Kepler-444 d,K
Kepler-444 e,K
Kepler-444 f,K
HD 207832 b,G5 V
HD 207832 c,G5 V
HD 65216 b,G5 V
HD 65216 c,G5 V
K2-290 b,
K2-290 c,
LTT 1445 A b,M2.5V
LTT 1445 A c,M2.5V
TOI-942 b,K2.5 V
TOI-942 c,K2.5 V
16 Cyg B b,G3 V
51 Eri b,F0 IV
91 Aqr b,K0 III
HAT-P-16 b,F8
HAT-P-35 b,
HAT-P-57 b,A8 V
HAT-P-8 b,F6
HD 126614 b,G8 IV
HD 132563 b,F8
HD 142245 b,K0
HD 178911 B b,G5
HD 185269 b,G0 IV
HD 196050 b,G4 V
HD 19994 b,F8 V
HD 2638 b,K1 V
HD 26965 b,K0 V
HD 40979 b,F8 V
HD 4113 b,G5
HD 43691 b,G0
HD 87646 b,G
HW Vir b,
K2-27 b,
KELT-4 A b,F
KOI-13 b,
Kepler-908 b,
Proxima Cen b,M5.5 V
WASP-11 b,K3 V
WASP-12 b,
WASP-14 b,
WASP-24 b,
WASP-3 b,
WD 1856+534 b,
eps Ind A b,K2 V
psi1 Dra B b,G0 V
Kepler-20 b,
Kepler-20 c,
Kepler-20 d,
Kepler-20 e,
Kepler-20 f,
Kepler-20 g,
55 Cnc b,K0 IV-V
55 Cnc c,G8V
55 Cnc d,G8 V
55 Cnc e,G8 V
55 Cnc f,G8V
HD 20781 b,K0 V
HD 20781 c,K0 V
HD 20781 d,K0 V
HD 20781 e,K0 V
HD 20782 b,G1.5 V
Kepler-296 b,M2 V
Kepler-296 c,M2 V
Kepler-296 d,M2 V
Kepler-296 e,M2 V
Kepler-296 f,M2 V
GJ 676 A b,M0 V
GJ 676 A c,M0
GJ 676 A d,M0 V
GJ 676 A e,M0 V
K2-266 b,
K2-266 c,
K2-266 d,
K2-266 e,
K2-32 b,G9 V
K2-32 c,G9 V
K2-32 d,G9 V
K2-32 e,G9 V
KOI-94 b,
KOI-94 c,
KOI-94 d,
KOI-94 e,
Kepler-132 b,
Kepler-132 c,
Kepler-132 d,
Kepler-132 e,
Kepler-167 b,K4
Kepler-167 c,K4
Kepler-167 d,K4
Kepler-167 e,K4
Kepler-197 b,
Kepler-197 c,
Kepler-197 d,
Kepler-197 e,
Kepler-411 b,K2 V
Kepler-411 c,K2 V
Kepler-411 d,K2 V
Kepler-411 e,K2 V
2MASS J19383260+4603591 b,
HD 125612 b,G3 V
HD 125612 c,G3 V
HD 125612 d,G3 V
HD 133131 A b,G2 V
HD 133131 A c,G2 V
HD 133131 B b,G2 V
HD 142 A d,F7V
HD 142 b,G1 IV
HD 142 c,F7V
HR 858 b,F6 V
HR 858 c,F6 V
HR 858 d,F6 V
K2-136 b,K5.5
K2-136 c,K5.5
K2-136 d,K5.5
K2-148 b,
K2-148 c,
K2-148 d,
Kepler-104 b,
Kepler-104 c,
Kepler-104 d,
Kepler-1130 b,
Kepler-1130 c,
Kepler-1130 d,
Kepler-130 b,
Kepler-130 c,
Kepler-130 d,
Kepler-25 b,
Kepler-25 c,
Kepler-25 d,
Kepler-451 c,
Kepler-451 d,
Kepler-47 b,
Kepler-47 c,
Kepler-47 d,
Kepler-68 b,
Kepler-68 c,
Kepler-68 d,
Kepler-83 b,M0 V
Kepler-83 c,M0 V
Kepler-83 d,M0 V
TOI-451 b,
TOI-451 c,
TOI-451 d,
XO-2 N b,K0 V
XO-2 S b,
XO-2 S c,
ups And b,F8 V
ups And c,F8 V
ups And d,F8 V
GJ 15 A b,M1
GJ 15 A c,M1
GJ 229 A c,M1.5V
GJ 229 b,M1/M2 V
GJ 3473 b,M4
GJ 3473 c,M4
GJ 414 A b,K7 V
GJ 414 A c,K7 V
HD 107148 b,G5 V
HD 107148 c,G5 V
HD 11343 c,K2 III/IV
HD 116029 b,K0
HD 116029 c,K0
HD 11964 b,G9 V CN+1
HD 11964 c,G9 V CN+1
HD 147873 b,G1 V
HD 147873 c,G1 V
HD 177830 b,K0
HD 177830 c,K0
HD 190360 b,G V
HD 190360 c,G6 IV
HD 217786 b,F8 V
HD 217786 c,F8 V
HD 38529 b,G4 IV
HD 38529 c,G4 IV
HD 41004 A b,K1/K2 V
HD 41004 B b,M2 V
HD 4732 b,K0 IV
HD 4732 c,K0 IV
HD 93963 A b,G0 V
HD 93963 A c,G0 V
HIP 8541 b,K2 III/IV
HU Aqr AB b,
HU Aqr AB c,
Kepler-108 b,
Kepler-108 c,
Kepler-1086 b,
Kepler-1086 c,
Kepler-136 b,
Kepler-136 c,
Kepler-333 b,
Kepler-333 c,
Kepler-353 b,
Kepler-353 c,
Kepler-390 b,
Kepler-390 c,
Kepler-432 b,
Kepler-432 c,
Kepler-454 b,
Kepler-454 c,
Kepler-755 b,
Kepler-755 c,
LHS 1678 b,M2.0 V
LHS 1678 c,M2.0 V
LTT 3780 b,M4 V
LTT 3780 c,M4 V
NN Ser c,WD
NN Ser d,WD
NY Vir b,
NY Vir c,
Pr0211 b,
Pr0211 c,
TOI-421 b,G9 V
TOI-421 c,G9 V
UZ For b,
UZ For c,
WASP-18 b,F6 IV-V
WASP-18 c,F6 IV-V
WASP-8 b,G8 V
WASP-8 c,G8 V
WASP-94 A b,F8
WASP-94 B b,F9
11 Com b,G8 III
18 Del b,G6 III
2MASS J01033563-5515561 AB b,M5.5/M6
42 Dra b,K1.5 III
75 Cet b,G3 III
CoRoT-2 b,
CoRoT-9 b,G3 V
DE CVn b,
DMPP-3 A b,K0 V
DP Leo b,
DS Tuc A b,G6 V
EPIC 246851721 b,F5 V
GJ 3021 b,G6 V
GJ 338 B b,M0 V
GJ 720 A b,M0.5 V
GJ 86 b,K1V
GJ 896 A b,M3.5 V
Gl 49 b,M1.5 V
HAT-P-1 b,G0 V
HAT-P-14 b,F5 V
HAT-P-22 b,G5 V
HAT-P-24 b,F8
HAT-P-27 b,G8
HAT-P-29 b,F8
HAT-P-3 b,K
HAT-P-30 b,F7
HAT-P-32 b,
HAT-P-33 b,F4
HAT-P-39 b,
HAT-P-4 b,F
HAT-P-41 b,
HAT-P-67 b,
HAT-P-7 b,
HATS-30 b,G
HATS-37 A b,
HATS-48 A b,
HATS-58 A b,
HATS-65 b,
HATS-74 A b,
HD 100655 b,G9 III
HD 101930 b,K1 V
HD 102365 b,G3/5V
HD 102956 b,G5
HD 103774 b,F5 V
HD 106515 A b,G5 V
HD 108341 b,K2 V
HD 109749 b,G3 V
HD 110082 b,F8 V
HD 113996 b,K5 III
HD 114729 b,G0 V
HD 142022 A b,K0
HD 147379 b,M1
HD 147513 b,G3/5V
HD 155233 b,K1 III
HD 156846 b,G0 V
HD 16141 b,G5 IV
HD 16417 b,G1 V
HD 164509 b,G5
HD 164595 b,G2 V
HD 170469 b,G5 IV
HD 180617 b,M2.5 V
HD 180902 b,K0 III/IV
HD 18599 b,K2 V
HD 188015 b,G5 IV
HD 189733 b,K2 V
HD 195019 b,G3 IV-V
HD 196067 b,G1 V
HD 196885 A b,F8 V
HD 197037 b,F7 V
HD 202206 c,G6 V
HD 202772 A b,
HD 204941 b,K1/2V
HD 212301 b,F8 V
HD 213240 b,G0/1 V
HD 214823 b,G0
HD 220842 b,F8
HD 222582 b,G5 V
HD 233832 b,G0
HD 23596 b,F8 V
HD 25171 b,F8 V
HD 27442 b,K1/2III
HD 28254 b,G1 IV/V
HD 30856 b,K0 III
HD 33283 b,G3/G5 V
HD 46375 b,K1 IV-V
HD 59686 A b,K2 III
HD 7449 b,F9.5 V
HD 75289 b,G0
HD 79498 b,G5
HD 80606 b,G5
HD 8535 b,G0 V
HD 86081 b,F8
HD 8673 b,F5
HD 89744 b,F7 V
HD 96167 b,G5
HD 98736 b,G5
HD 99492 b,K2 V
HIP 109600 b,G5
HIP 116454 b,K1
HIP 21152 b,F5 V
HIP 65 A b,K4 V
HIP 70849 b,K7 V
HIP 75056 A b,A2 V
HIP 79098 AB b,B9 V
HIP 94235 b,G V
HR 5183 b,G0 V
K2-122 b,M0
K2-151 b,M1.5 V
K2-22 b,M0 V
K2-265 b,G8 V
K2-288 B b,M3 V
K2-29 b,G7 V
K2-31 b,G7 V
KELT-15 b,
KELT-16 b,F7 V
KELT-18 b,F4 V
KELT-19 A b,A8 V
KELT-2 A b,F8
KELT-23 A b,G2 V
KELT-3 b,
KELT-9 b,B9.5-A0
KIC 5095269 b,F7 V
KIC 5951458 b,
KMT-2021-BLG-0322L b,
KOI-1257 b,G5 V
KOI-7913 b,K6 V
Kepler-1008 b,
Kepler-1027 b,
Kepler-1063 b,
Kepler-1150 b,
Kepler-1319 b,
Kepler-1341 b,
Kepler-14 b,
Kepler-1480 b,
Kepler-1540 b,
Kepler-16 b,
Kepler-1647 b,
Kepler-1651 b,
Kepler-1661 b,K
Kepler-21 b,F6 IV
Kepler-34 b,
Kepler-35 b,
Kepler-38 b,G4 V
Kepler-410 A b,
Kepler-413 b,
Kepler-453 b,
Kepler-477 b,
Kepler-504 b,
Kepler-514 b,
Kepler-515 b,
Kepler-517 b,
Kepler-519 b,
Kepler-530 b,
Kepler-538 b,
Kepler-560 b,
Kepler-636 b,
Kepler-693 b,
Kepler-743 b,
Kepler-779 b,
Kepler-78 b,G
Kepler-795 b,
Kepler-951 b,
Kepler-970 b,
Kepler-99 b,
MASCARA-4 b,A7 V
MXB 1658-298 b,
NGTS-14 A b,K1 V
NGTS-3 A b,G6 V
NSVS 14256825 b,
OGLE-2006-BLG-284L A b,
OGLE-2007-BLG-349L AB c,M
OGLE-2008-BLG-092L b,
OGLE-2013-BLG-0341L B b,
OGLE-2016-BLG-0613L AB b,
OGLE-2018-BLG-1700L b,
OGLE-2019-BLG-0304L b,
OGLE-2019-BLG-1470L AB c,
PSR B1620-26 b,
Qatar-6 b,K2 V
ROXs 12 b,M0
ROXs 42 B b,M0
RR Cae b,M
Ross 458 c,M2
SR 12 AB c,
TIC 172900988 b,F9
TOI-1201 b,M2.0 V
TOI-1259 A b,
TOI-1333 b,
TOI-1338 b,
TOI-1452 b,M4 &#177 0.5 V
